label,name,admin1,country,country_code,latitude,longitude,timezone,elevation,dados_completos
"Monsenhor Gil, Piauí (BR)",Monsenhor Gil,Piauí,Brasil,BR,-5.56417,-42.60778,America/Fortaleza,129.0,"{""id"": 3394621, ""name"": ""Monsenhor Gil"", ""latitude"": -5.56417, ""longitude"": -42.60778, ""elevation"": 129.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3392213, ""admin2_id"": 6319949, ""timezone"": ""America/Fortaleza"", ""population"": 4751, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Piauí"", ""admin2"": ""Monsenhor Gil""}"
"Natal, Rio Grande do Norte (BR)",Natal,Rio Grande do Norte,Brasil,BR,-5.795,-35.20944,America/Fortaleza,32.0,"{""id"": 3394023, ""name"": ""Natal"", ""latitude"": -5.795, ""longitude"": -35.20944, ""elevation"": 32.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3390290, ""admin2_id"": 6320189, ""timezone"": ""America/Fortaleza"", ""population"": 896708, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Rio Grande do Norte"", ""admin2"": ""Natal""}"
"Porecatu, Paraná (BR)",Porecatu,Paraná,Brasil,BR,-22.75583,-51.37917,America/Sao_Paulo,404.0,"{""id"": 3452992, ""name"": ""Porecatu"", ""latitude"": -22.75583, ""longitude"": -51.37917, ""elevation"": 404.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3455077, ""admin2_id"": 6322928, ""timezone"": ""America/Sao_Paulo"", ""population"": 11390, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraná"", ""admin2"": ""Porecatu""}"
"Porto Alegre do Piauí, Piauí (BR)",Porto Alegre do Piauí,Piauí,Brasil,BR,-6.97091,-44.1983,America/Fortaleza,159.0,"{""id"": 3391401, ""name"": ""Porto Alegre do Piauí"", ""latitude"": -6.97091, ""longitude"": -44.1983, ""elevation"": 159.0, ""feature_code"": ""PPLA2"", ""country_code"": ""BR"", ""admin1_id"": 3392213, ""admin2_id"": 6319980, ""timezone"": ""America/Fortaleza"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Piauí"", ""admin2"": ""Porto Alegre do Piauí""}"
"Porto Alegre, Rio Grande do Sul (BR)",Porto Alegre,Rio Grande do Sul,Brasil,BR,-30.03283,-51.23019,America/Sao_Paulo,46.0,"{""id"": 3452925, ""name"": ""Porto Alegre"", ""latitude"": -30.03283, ""longitude"": -51.23019, ""elevation"": 46.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3451133, ""admin2_id"": 6323571, ""timezone"": ""America/Sao_Paulo"", ""population"": 1488252, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Rio Grande do Sul"", ""admin2"": ""Porto Alegre""}"
"Porto, Piauí (BR)",Porto,Piauí,Brasil,BR,-3.89333,-42.71,America/Fortaleza,40.0,"{""id"": 3391408, ""name"": ""Porto"", ""latitude"": -3.89333, ""longitude"": -42.71, ""elevation"": 40.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3392213, ""admin2_id"": 6319979, ""timezone"": ""America/Fortaleza"", ""population"": 6535, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Piauí"", ""admin2"": ""Porto""}"
"Pôrto Alegre, Maranhão (BR)",Pôrto Alegre,Maranhão,Brasil,BR,-9.75,-46.16667,America/Fortaleza,483.0,"{""id"": 3391400, ""name"": ""Pôrto Alegre"", ""latitude"": -9.75, ""longitude"": -46.16667, ""elevation"": 483.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3395443, ""admin2_id"": 6319638, ""timezone"": ""America/Fortaleza"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Maranhão"", ""admin2"": ""Alto Parnaíba""}"
"Recife, Bahia (BR)",Recife,Bahia,Brasil,BR,-11.6,-41.9,America/Bahia,784.0,"{""id"": 3451767, ""name"": ""Recife"", ""latitude"": -11.6, ""longitude"": -41.9, ""elevation"": 784.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3471168, ""admin2_id"": 6320865, ""timezone"": ""America/Bahia"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Bahia"", ""admin2"": ""Ibititá""}"
"Recife, Pernambuco (BR)",Recife,Pernambuco,Brasil,BR,-8.05389,-34.88111,America/Recife,8.0,"{""id"": 3390760, ""name"": ""Recife"", ""latitude"": -8.05389, ""longitude"": -34.88111, ""elevation"": 8.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3392268, ""admin2_id"": 6320570, ""timezone"": ""America/Recife"", ""population"": 1653461, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Pernambuco"", ""admin2"": ""Recife""}"
"Rio de Janeiro, Rio de Janeiro (BR)",Rio de Janeiro,Rio de Janeiro,Brasil,BR,-22.90642,-43.18223,America/Sao_Paulo,12.0,"{""id"": 3451190, ""name"": ""Rio de Janeiro"", ""latitude"": -22.90642, ""longitude"": -43.18223, ""elevation"": 12.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3451189, ""admin2_id"": 6322060, ""timezone"": ""America/Sao_Paulo"", ""population"": 6747815, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Rio de Janeiro"", ""admin2"": ""Rio de Janeiro""}"
"Salvador, Bahia (BR)",Salvador,Bahia,Brasil,BR,-12.97563,-38.49096,America/Bahia,4.0,"{""id"": 3450554, ""name"": ""Salvador"", ""latitude"": -12.97563, ""longitude"": -38.49096, ""elevation"": 4.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3471168, ""admin2_id"": 6321026, ""timezone"": ""America/Bahia"", ""population"": 2711840, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Bahia"", ""admin2"": ""Salvador""}"
"São Paulo, São Paulo (BR)",São Paulo,São Paulo,Brasil,BR,-23.5475,-46.63611,America/Sao_Paulo,769.0,"{""id"": 3448439, ""name"": ""São Paulo"", ""latitude"": -23.5475, ""longitude"": -46.63611, ""elevation"": 769.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3448433, ""timezone"": ""America/Sao_Paulo"", ""population"": 12400232, ""postcodes"": [""82010-340"", ""22640-101""], ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""São Paulo""}"
"Tupandi, Rio Grande do Sul (BR)",Tupandi,Rio Grande do Sul,Brasil,BR,-29.47639,-51.42111,America/Sao_Paulo,87.0,"{""id"": 3445938, ""name"": ""Tupandi"", ""latitude"": -29.47639, ""longitude"": -51.42111, ""elevation"": 87.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3451133, ""admin2_id"": 6323689, ""timezone"": ""America/Sao_Paulo"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Rio Grande do Sul"", ""admin2"": ""Tupandi""}"
"Uiraúna, Paraíba (BR)",Uiraúna,Paraíba,Brasil,BR,-6.51833,-38.41222,America/Fortaleza,298.0,"{""id"": 3385850, ""name"": ""Uiraúna"", ""latitude"": -6.51833, ""longitude"": -38.41222, ""elevation"": 298.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3393098, ""admin2_id"": 6320444, ""timezone"": ""America/Fortaleza"", ""population"": 7823, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraíba"", ""admin2"": ""Uiraúna""}"
