Relatório;;;;;;
Arquivo criado em:2024-02-23 17:33:56;;;;;;
;;;;;;
Informação de dispositivo;;;;;;
Modelo do dispositivo;RC-51H;;Tipo de Sensor;Temperatura & Umidade(Interna);;
Número de série;EL2205000383;;Versão do firmware;V2,2;;
Número da Viagem;;;;;;
Número da Viagem;0000001;;;;;
Número da Viagem;Qualificacao Termica.                                                                              ;;;;;
Config. informação;;;;;;
Modo Iniciar;Início cronometrado;;Intervalo de registro;0:1:0;;
Atraso de início;0H0M;;Repita o início;Habilitar;;
Fuso horário;UTC -03:00;;Modo de parada;Botão + Software;;
Luz;Desabilitar;;O intervalo é encurtado após o limite ser excedido;Desabilitar;;
Mark Time;;;;;;
N/A;;;;;;
;;;;;;
Limiar de Alarme;Atraso de alarme;Duração acima do limite;Tempos acima do limite;Status de Alarme;;
H3:;;;;;;
H2:;;;;;;
H1:30,0°C;0D 0H 0M 0S;3D 8H 24M 0S;22;Alarme;;
Zona Ideal;Ilimitado;0D 0H 0M 0S;;;;
L1:15,0°C;0D 0H 0M 0S;0D 0H 0M 0S;0;Normal;;
L2:;;;;;;
Acima:;;;;;;
Zona Ideal;Ilimitado;;;;;
Abaixo:;;;;;;
Resumo;;;;;;
3930;2024-02-18 11:29:00;31,3;75,1;;;
3931;2024-02-18 11:30:00;31,3;75;;;
3932;2024-02-18 11:31:00;31,3;75;;;
3933;2024-02-18 11:32:00;31,3;75;;;
3934;2024-02-18 11:33:00;31,3;75,1;;;
3935;2024-02-18 11:34:00;31,3;75,2;;;
3936;2024-02-18 11:35:00;31,3;75,1;;;
3937;2024-02-18 11:36:00;31,3;75,1;;;
3938;2024-02-18 11:37:00;31,3;75;;;
3942;2024-02-18 11:41:00;31,3;75;;;
3947;2024-02-18 11:46:00;31,3;75;;;
3948;2024-02-18 11:47:00;31,3;75,1;;;
3961;2024-02-18 12:00:00;31,3;75;;;
3963;2024-02-18 12:02:00;31,3;75,1;;;
3965;2024-02-18 12:04:00;31,3;75,1;;;
3968;2024-02-18 12:07:00;31,3;75,1;;;
3971;2024-02-18 12:10:00;31,3;75,2;;;
3972;2024-02-18 12:11:00;31,3;75,2;;;
3973;2024-02-18 12:12:00;31,3;75,2;;;
4208;2024-02-18 16:07:00;31,3;73,4;;;
4209;2024-02-18 16:08:00;31,3;73,5;;;
4210;2024-02-18 16:09:00;31,3;73,6;;;
4211;2024-02-18 16:10:00;31,3;73,6;;;
4212;2024-02-18 16:11:00;31,3;73,6;;;
4213;2024-02-18 16:12:00;31,3;73,6;;;
4214;2024-02-18 16:13:00;31,3;73,6;;;
4215;2024-02-18 16:14:00;31,3;73,7;;;
4216;2024-02-18 16:15:00;31,3;73,8;;;
4217;2024-02-18 16:16:00;31,3;73,7;;;
4218;2024-02-18 16:17:00;31,3;73,8;;;
4220;2024-02-18 16:19:00;31,3;73,9;;;
4226;2024-02-18 16:25:00;31,3;73,6;;;
5315;2024-02-19 10:34:00;31,3;71,9;;;
5316;2024-02-19 10:35:00;31,3;71,8;;;
5318;2024-02-19 10:37:00;31,3;71,9;;;
5319;2024-02-19 10:38:00;31,3;71,7;;;
5320;2024-02-19 10:39:00;31,3;71,7;;;
5321;2024-02-19 10:40:00;31,3;71,7;;;
5322;2024-02-19 10:41:00;31,3;71,7;;;
5323;2024-02-19 10:42:00;31,3;71,6;;;
5324;2024-02-19 10:43:00;31,3;71,6;;;
5325;2024-02-19 10:44:00;31,3;71,6;;;
5326;2024-02-19 10:45:00;31,3;71,7;;;
5327;2024-02-19 10:46:00;31,3;71,5;;;
5328;2024-02-19 10:47:00;31,3;71,6;;;
5329;2024-02-19 10:48:00;31,3;71,6;;;
5330;2024-02-19 10:49:00;31,3;71,6;;;
5331;2024-02-19 10:50:00;31,3;71,5;;;
5332;2024-02-19 10:51:00;31,3;71,5;;;
5764;2024-02-19 18:03:00;31,3;69,4;;;
5766;2024-02-19 18:05:00;31,3;69,4;;;
5768;2024-02-19 18:07:00;31,3;69,5;;;
5769;2024-02-19 18:08:00;31,3;69,5;;;
5770;2024-02-19 18:09:00;31,3;69,5;;;
5771;2024-02-19 18:10:00;31,3;69,6;;;
5772;2024-02-19 18:11:00;31,3;69,6;;;
5773;2024-02-19 18:12:00;31,3;69,6;;;
5775;2024-02-19 18:14:00;31,3;69,6;;;
5776;2024-02-19 18:15:00;31,3;69,6;;;
5777;2024-02-19 18:16:00;31,3;69,7;;;
5778;2024-02-19 18:17:00;31,3;69,7;;;
5779;2024-02-19 18:18:00;31,3;69,8;;;
5780;2024-02-19 18:19:00;31,3;69,8;;;
5781;2024-02-19 18:20:00;31,3;69,8;;;
5782;2024-02-19 18:21:00;31,3;69,9;;;
5784;2024-02-19 18:23:00;31,3;69,8;;;
5785;2024-02-19 18:24:00;31,3;69,9;;;
5786;2024-02-19 18:25:00;31,3;69,9;;;
5787;2024-02-19 18:26:00;31,3;69,9;;;
5795;2024-02-19 18:34:00;31,3;70;;;
5799;2024-02-19 18:38:00;31,3;70;;;
6711;2024-02-20 09:50:00;31,3;71,8;;;
6712;2024-02-20 09:51:00;31,3;71,8;;;
6713;2024-02-20 09:52:00;31,3;71,8;;;
6714;2024-02-20 09:53:00;31,3;71,7;;;
6715;2024-02-20 09:54:00;31,3;71,7;;;
6716;2024-02-20 09:55:00;31,3;71,7;;;
6717;2024-02-20 09:56:00;31,3;71,6;;;
6718;2024-02-20 09:57:00;31,3;71,6;;;
6719;2024-02-20 09:58:00;31,3;71,6;;;
6720;2024-02-20 09:59:00;31,3;71,5;;;
6721;2024-02-20 10:00:00;31,3;71,5;;;
6722;2024-02-20 10:01:00;31,3;71,4;;;
6723;2024-02-20 10:02:00;31,3;71,4;;;
6724;2024-02-20 10:03:00;31,3;71,4;;;
6725;2024-02-20 10:04:00;31,3;71,4;;;
6728;2024-02-20 10:07:00;31,3;71,3;;;
7325;2024-02-20 20:04:00;31,3;71,3;;;
7326;2024-02-20 20:05:00;31,3;71,2;;;
7328;2024-02-20 20:07:00;31,3;71,2;;;
7329;2024-02-20 20:08:00;31,3;71,2;;;
7330;2024-02-20 20:09:00;31,3;71,3;;;
7331;2024-02-20 20:10:00;31,3;71,3;;;
7332;2024-02-20 20:11:00;31,3;71,3;;;
7333;2024-02-20 20:12:00;31,3;71,4;;;
7334;2024-02-20 20:13:00;31,3;71,3;;;
7335;2024-02-20 20:14:00;31,3;71,4;;;
7336;2024-02-20 20:15:00;31,3;71,4;;;
7337;2024-02-20 20:16:00;31,3;71,3;;;
7338;2024-02-20 20:17:00;31,3;71,4;;;
7339;2024-02-20 20:18:00;31,3;71,3;;;
7340;2024-02-20 20:19:00;31,3;71,3;;;
7341;2024-02-20 20:20:00;31,3;71,3;;;
7342;2024-02-20 20:21:00;31,3;71,4;;;
7343;2024-02-20 20:22:00;31,3;71,4;;;
7344;2024-02-20 20:23:00;31,3;71,4;;;
7345;2024-02-20 20:24:00;31,3;71,4;;;
7346;2024-02-20 20:25:00;31,3;71,4;;;
7348;2024-02-20 20:27:00;31,3;71,5;;;
7351;2024-02-20 20:30:00;31,3;71,5;;;
7353;2024-02-20 20:32:00;31,3;71,5;;;
8268;2024-02-21 11:47:00;31,3;70,4;;;
8271;2024-02-21 11:50:00;31,3;70,5;;;
8272;2024-02-21 11:51:00;31,3;70,5;;;
8274;2024-02-21 11:53:00;31,3;70,5;;;
8275;2024-02-21 11:54:00;31,3;70,5;;;
8276;2024-02-21 11:55:00;31,3;70,5;;;
8277;2024-02-21 11:56:00;31,3;70,5;;;
8278;2024-02-21 11:57:00;31,3;70,5;;;
8279;2024-02-21 11:58:00;31,3;70,4;;;
8280;2024-02-21 11:59:00;31,3;70,4;;;
8281;2024-02-21 12:00:00;31,3;70,4;;;
8282;2024-02-21 12:01:00;31,3;70,3;;;
8283;2024-02-21 12:02:00;31,3;70,2;;;
8284;2024-02-21 12:03:00;31,3;70,3;;;
8285;2024-02-21 12:04:00;31,3;70,2;;;
8286;2024-02-21 12:05:00;31,3;70,2;;;
8287;2024-02-21 12:06:00;31,3;70,2;;;
8288;2024-02-21 12:07:00;31,3;70,2;;;
8289;2024-02-21 12:08:00;31,3;70,2;;;
8290;2024-02-21 12:09:00;31,3;70,2;;;
8291;2024-02-21 12:10:00;31,3;70,2;;;
8292;2024-02-21 12:11:00;31,3;70,3;;;
8294;2024-02-21 12:13:00;31,3;70,2;;;
8296;2024-02-21 12:15:00;31,3;70,2;;;
8297;2024-02-21 12:16:00;31,3;70,2;;;
8298;2024-02-21 12:17:00;31,3;70,2;;;
8299;2024-02-21 12:18:00;31,3;70,2;;;
8300;2024-02-21 12:19:00;31,3;70,2;;;
8305;2024-02-21 12:24:00;31,3;70,2;;;
8306;2024-02-21 12:25:00;31,3;70,2;;;
2651;2024-02-17 14:10:00;31,2;74,1;;;
2653;2024-02-17 14:12:00;31,2;74;;;
2655;2024-02-17 14:14:00;31,2;74;;;
2656;2024-02-17 14:15:00;31,2;74;;;
2659;2024-02-17 14:18:00;31,2;74;;;
2664;2024-02-17 14:23:00;31,2;74,1;;;
2665;2024-02-17 14:24:00;31,2;74;;;
2666;2024-02-17 14:25:00;31,2;74;;;
2667;2024-02-17 14:26:00;31,2;74;;;
2668;2024-02-17 14:27:00;31,2;73,9;;;
2669;2024-02-17 14:28:00;31,2;73,8;;;
2670;2024-02-17 14:29:00;31,2;74;;;
2671;2024-02-17 14:30:00;31,2;73,9;;;
2672;2024-02-17 14:31:00;31,2;73,9;;;
2673;2024-02-17 14:32:00;31,2;73,9;;;
2674;2024-02-17 14:33:00;31,2;74;;;
2675;2024-02-17 14:34:00;31,2;73,9;;;
2676;2024-02-17 14:35:00;31,2;74;;;
2677;2024-02-17 14:36:00;31,2;74;;;
2678;2024-02-17 14:37:00;31,2;74;;;
2680;2024-02-17 14:39:00;31,2;74;;;
2682;2024-02-17 14:41:00;31,2;74,1;;;
2683;2024-02-17 14:42:00;31,2;74;;;
2684;2024-02-17 14:43:00;31,2;74;;;
2685;2024-02-17 14:44:00;31,2;73,9;;;
2686;2024-02-17 14:45:00;31,2;74;;;
2687;2024-02-17 14:46:00;31,2;74;;;
2688;2024-02-17 14:47:00;31,2;74;;;
2689;2024-02-17 14:48:00;31,2;74;;;
2690;2024-02-17 14:49:00;31,2;74;;;
2691;2024-02-17 14:50:00;31,2;74;;;
2692;2024-02-17 14:51:00;31,2;74;;;
2693;2024-02-17 14:52:00;31,2;74;;;
2694;2024-02-17 14:53:00;31,2;73,9;;;
2695;2024-02-17 14:54:00;31,2;73,9;;;
2696;2024-02-17 14:55:00;31,2;73,9;;;
2697;2024-02-17 14:56:00;31,2;73,9;;;
2698;2024-02-17 14:57:00;31,2;73,9;;;
2699;2024-02-17 14:58:00;31,2;74;;;
2700;2024-02-17 14:59:00;31,2;74;;;
2701;2024-02-17 15:00:00;31,2;73,9;;;
2702;2024-02-17 15:01:00;31,2;74;;;
2703;2024-02-17 15:02:00;31,2;74;;;
2704;2024-02-17 15:03:00;31,2;74;;;
2706;2024-02-17 15:05:00;31,2;74,1;;;
2707;2024-02-17 15:06:00;31,2;74;;;
2708;2024-02-17 15:07:00;31,2;73,9;;;
2709;2024-02-17 15:08:00;31,2;74;;;
2710;2024-02-17 15:09:00;31,2;73,9;;;
2711;2024-02-17 15:10:00;31,2;73,9;;;
2712;2024-02-17 15:11:00;31,2;73,9;;;
2713;2024-02-17 15:12:00;31,2;73,9;;;
2714;2024-02-17 15:13:00;31,2;73,8;;;
2715;2024-02-17 15:14:00;31,2;73,7;;;
2716;2024-02-17 15:15:00;31,2;73,7;;;
2717;2024-02-17 15:16:00;31,2;73,6;;;
2718;2024-02-17 15:17:00;31,2;73,6;;;
2771;2024-02-17 16:10:00;31,2;73,4;;;
2772;2024-02-17 16:11:00;31,2;73,5;;;
2773;2024-02-17 16:12:00;31,2;73,5;;;
2774;2024-02-17 16:13:00;31,2;73,5;;;
2776;2024-02-17 16:15:00;31,2;73,5;;;
2777;2024-02-17 16:16:00;31,2;73,6;;;
2778;2024-02-17 16:17:00;31,2;73,6;;;
2779;2024-02-17 16:18:00;31,2;73,6;;;
2780;2024-02-17 16:19:00;31,2;73,6;;;
2781;2024-02-17 16:20:00;31,2;73,6;;;
2782;2024-02-17 16:21:00;31,2;73,6;;;
2783;2024-02-17 16:22:00;31,2;73,6;;;
2784;2024-02-17 16:23:00;31,2;73,6;;;
2785;2024-02-17 16:24:00;31,2;73,7;;;
2786;2024-02-17 16:25:00;31,2;73,7;;;
2787;2024-02-17 16:26:00;31,2;73,7;;;
2788;2024-02-17 16:27:00;31,2;73,7;;;
2789;2024-02-17 16:28:00;31,2;73,7;;;
2790;2024-02-17 16:29:00;31,2;73,9;;;
2791;2024-02-17 16:30:00;31,2;73,8;;;
2792;2024-02-17 16:31:00;31,2;73,9;;;
2793;2024-02-17 16:32:00;31,2;73,9;;;
2794;2024-02-17 16:33:00;31,2;73,9;;;
2795;2024-02-17 16:34:00;31,2;73,9;;;
2796;2024-02-17 16:35:00;31,2;73,9;;;
2797;2024-02-17 16:36:00;31,2;73,9;;;
2798;2024-02-17 16:37:00;31,2;73,9;;;
2799;2024-02-17 16:38:00;31,2;73,9;;;
2800;2024-02-17 16:39:00;31,2;74;;;
3906;2024-02-18 11:05:00;31,2;75,4;;;
3907;2024-02-18 11:06:00;31,2;75,4;;;
3908;2024-02-18 11:07:00;31,2;75,3;;;
3909;2024-02-18 11:08:00;31,2;75,4;;;
3910;2024-02-18 11:09:00;31,2;75,3;;;
3911;2024-02-18 11:10:00;31,2;75,3;;;
3912;2024-02-18 11:11:00;31,2;75,3;;;
3913;2024-02-18 11:12:00;31,2;75,3;;;
3914;2024-02-18 11:13:00;31,2;75,3;;;
3915;2024-02-18 11:14:00;31,2;75,3;;;
3916;2024-02-18 11:15:00;31,2;75,2;;;
3917;2024-02-18 11:16:00;31,2;75,2;;;
3918;2024-02-18 11:17:00;31,2;75,3;;;
4219;2024-02-18 16:18:00;31,2;73,8;;;
4221;2024-02-18 16:20:00;31,2;73,9;;;
4222;2024-02-18 16:21:00;31,2;73,8;;;
4223;2024-02-18 16:22:00;31,2;73,8;;;
4224;2024-02-18 16:23:00;31,2;73,7;;;
4225;2024-02-18 16:24:00;31,2;73,6;;;
4227;2024-02-18 16:26:00;31,2;73,7;;;
4228;2024-02-18 16:27:00;31,2;73,7;;;
4229;2024-02-18 16:28:00;31,2;73,8;;;
4230;2024-02-18 16:29:00;31,2;73,8;;;
4231;2024-02-18 16:30:00;31,2;73,8;;;
4232;2024-02-18 16:31:00;31,2;73,8;;;
4233;2024-02-18 16:32:00;31,2;73,8;;;
4234;2024-02-18 16:33:00;31,2;73,9;;;
4235;2024-02-18 16:34:00;31,2;73,9;;;
4236;2024-02-18 16:35:00;31,2;74;;;
4237;2024-02-18 16:36:00;31,2;73,9;;;
4238;2024-02-18 16:37:00;31,2;74;;;
4239;2024-02-18 16:38:00;31,2;74;;;
4240;2024-02-18 16:39:00;31,2;74;;;
4241;2024-02-18 16:40:00;31,2;74;;;
4242;2024-02-18 16:41:00;31,2;74;;;
4243;2024-02-18 16:42:00;31,2;74;;;
4246;2024-02-18 16:45:00;31,2;74,1;;;
5304;2024-02-19 10:23:00;31,2;72,2;;;
5305;2024-02-19 10:24:00;31,2;72,1;;;
5306;2024-02-19 10:25:00;31,2;72,2;;;
5307;2024-02-19 10:26:00;31,2;72,1;;;
5308;2024-02-19 10:27:00;31,2;72,2;;;
5309;2024-02-19 10:28:00;31,2;72,1;;;
5310;2024-02-19 10:29:00;31,2;72;;;
5311;2024-02-19 10:30:00;31,2;71,9;;;
5312;2024-02-19 10:31:00;31,2;71,8;;;
5313;2024-02-19 10:32:00;31,2;71,8;;;
5314;2024-02-19 10:33:00;31,2;71,8;;;
5317;2024-02-19 10:36:00;31,2;71,7;;;
5783;2024-02-19 18:22:00;31,2;69,8;;;
5788;2024-02-19 18:27:00;31,2;69,9;;;
5789;2024-02-19 18:28:00;31,2;69,9;;;
5790;2024-02-19 18:29:00;31,2;70;;;
5791;2024-02-19 18:30:00;31,2;70;;;
5792;2024-02-19 18:31:00;31,2;70;;;
5793;2024-02-19 18:32:00;31,2;70;;;
5794;2024-02-19 18:33:00;31,2;70;;;
5796;2024-02-19 18:35:00;31,2;69,9;;;
5797;2024-02-19 18:36:00;31,2;70;;;
5798;2024-02-19 18:37:00;31,2;70;;;
5800;2024-02-19 18:39:00;31,2;70;;;
5801;2024-02-19 18:40:00;31,2;70;;;
5802;2024-02-19 18:41:00;31,2;70,1;;;
5803;2024-02-19 18:42:00;31,2;70,1;;;
5804;2024-02-19 18:43:00;31,2;70,2;;;
5805;2024-02-19 18:44:00;31,2;70,2;;;
5806;2024-02-19 18:45:00;31,2;70,2;;;
5807;2024-02-19 18:46:00;31,2;70,2;;;
5808;2024-02-19 18:47:00;31,2;70,3;;;
5811;2024-02-19 18:50:00;31,2;70,4;;;
6701;2024-02-20 09:40:00;31,2;72,1;;;
6702;2024-02-20 09:41:00;31,2;72;;;
6703;2024-02-20 09:42:00;31,2;72;;;
6704;2024-02-20 09:43:00;31,2;72;;;
6705;2024-02-20 09:44:00;31,2;72;;;
6706;2024-02-20 09:45:00;31,2;72;;;
6707;2024-02-20 09:46:00;31,2;72;;;
6708;2024-02-20 09:47:00;31,2;71,9;;;
6709;2024-02-20 09:48:00;31,2;71,8;;;
6710;2024-02-20 09:49:00;31,2;71,8;;;
7347;2024-02-20 20:26:00;31,2;71,4;;;
7349;2024-02-20 20:28:00;31,2;71,5;;;
7350;2024-02-20 20:29:00;31,2;71,5;;;
7352;2024-02-20 20:31:00;31,2;71,5;;;
7354;2024-02-20 20:33:00;31,2;71,5;;;
7355;2024-02-20 20:34:00;31,2;71,6;;;
7356;2024-02-20 20:35:00;31,2;71,6;;;
7357;2024-02-20 20:36:00;31,2;71,6;;;
7358;2024-02-20 20:37:00;31,2;71,6;;;
7359;2024-02-20 20:38:00;31,2;71,6;;;
7360;2024-02-20 20:39:00;31,2;71,6;;;
7361;2024-02-20 20:40:00;31,2;71,6;;;
7362;2024-02-20 20:41:00;31,2;71,7;;;
7363;2024-02-20 20:42:00;31,2;71,6;;;
7364;2024-02-20 20:43:00;31,2;71,6;;;
7365;2024-02-20 20:44:00;31,2;71,6;;;
7366;2024-02-20 20:45:00;31,2;71,6;;;
7367;2024-02-20 20:46:00;31,2;71,6;;;
7368;2024-02-20 20:47:00;31,2;71,6;;;
7369;2024-02-20 20:48:00;31,2;71,6;;;
7370;2024-02-20 20:49:00;31,2;71,7;;;
7371;2024-02-20 20:50:00;31,2;71,7;;;
7372;2024-02-20 20:51:00;31,2;71,7;;;
7373;2024-02-20 20:52:00;31,2;71,7;;;
7374;2024-02-20 20:53:00;31,2;71,7;;;
7375;2024-02-20 20:54:00;31,2;71,6;;;
7376;2024-02-20 20:55:00;31,2;71,6;;;
7377;2024-02-20 20:56:00;31,2;71,7;;;
7378;2024-02-20 20:57:00;31,2;71,7;;;
7379;2024-02-20 20:58:00;31,2;71,7;;;
7380;2024-02-20 20:59:00;31,2;71,7;;;
7381;2024-02-20 21:00:00;31,2;71,8;;;
7382;2024-02-20 21:01:00;31,2;71,7;;;
7383;2024-02-20 21:02:00;31,2;71,8;;;
7384;2024-02-20 21:03:00;31,2;71,8;;;
7385;2024-02-20 21:04:00;31,2;71,8;;;
7386;2024-02-20 21:05:00;31,2;71,9;;;
7387;2024-02-20 21:06:00;31,2;71,9;;;
7388;2024-02-20 21:07:00;31,2;71,9;;;
7389;2024-02-20 21:08:00;31,2;71,9;;;
7390;2024-02-20 21:09:00;31,2;71,9;;;
7391;2024-02-20 21:10:00;31,2;71,9;;;
7392;2024-02-20 21:11:00;31,2;71,9;;;
7393;2024-02-20 21:12:00;31,2;71,9;;;
7394;2024-02-20 21:13:00;31,2;72;;;
7395;2024-02-20 21:14:00;31,2;72;;;
7402;2024-02-20 21:21:00;31,2;72,1;;;
8241;2024-02-21 11:20:00;31,2;70,6;;;
8242;2024-02-21 11:21:00;31,2;70,6;;;
8243;2024-02-21 11:22:00;31,2;70,6;;;
8245;2024-02-21 11:24:00;31,2;70,6;;;
8246;2024-02-21 11:25:00;31,2;70,6;;;
8247;2024-02-21 11:26:00;31,2;70,6;;;
8248;2024-02-21 11:27:00;31,2;70,6;;;
8249;2024-02-21 11:28:00;31,2;70,6;;;
8250;2024-02-21 11:29:00;31,2;70,6;;;
8251;2024-02-21 11:30:00;31,2;70,6;;;
8252;2024-02-21 11:31:00;31,2;70,6;;;
8253;2024-02-21 11:32:00;31,2;70,6;;;
8254;2024-02-21 11:33:00;31,2;70,6;;;
8255;2024-02-21 11:34:00;31,2;70,5;;;
8256;2024-02-21 11:35:00;31,2;70,6;;;
8257;2024-02-21 11:36:00;31,2;70,4;;;
8258;2024-02-21 11:37:00;31,2;70,4;;;
8259;2024-02-21 11:38:00;31,2;70,4;;;
8260;2024-02-21 11:39:00;31,2;70,4;;;
8261;2024-02-21 11:40:00;31,2;70,4;;;
8262;2024-02-21 11:41:00;31,2;70,4;;;
8263;2024-02-21 11:42:00;31,2;70,4;;;
8264;2024-02-21 11:43:00;31,2;70,4;;;
8265;2024-02-21 11:44:00;31,2;70,5;;;
8266;2024-02-21 11:45:00;31,2;70,5;;;
8267;2024-02-21 11:46:00;31,2;70,5;;;
8269;2024-02-21 11:48:00;31,2;70,4;;;
8270;2024-02-21 11:49:00;31,2;70,5;;;
8273;2024-02-21 11:52:00;31,2;70,4;;;
2616;2024-02-17 13:35:00;31,1;74,5;;;
2617;2024-02-17 13:36:00;31,1;74,5;;;
2618;2024-02-17 13:37:00;31,1;74,5;;;
2619;2024-02-17 13:38:00;31,1;74,5;;;
2620;2024-02-17 13:39:00;31,1;74,4;;;
2621;2024-02-17 13:40:00;31,1;74,4;;;
2622;2024-02-17 13:41:00;31,1;74,4;;;
2623;2024-02-17 13:42:00;31,1;74,2;;;
2624;2024-02-17 13:43:00;31,1;74,4;;;
2625;2024-02-17 13:44:00;31,1;74,3;;;
2626;2024-02-17 13:45:00;31,1;74,3;;;
2627;2024-02-17 13:46:00;31,1;74,3;;;
2628;2024-02-17 13:47:00;31,1;74,3;;;
2629;2024-02-17 13:48:00;31,1;74,1;;;
2633;2024-02-17 13:52:00;31,1;74,2;;;
2635;2024-02-17 13:54:00;31,1;74,2;;;
2637;2024-02-17 13:56:00;31,1;74,1;;;
2638;2024-02-17 13:57:00;31,1;74,2;;;
2639;2024-02-17 13:58:00;31,1;74,2;;;
2640;2024-02-17 13:59:00;31,1;74,1;;;
2641;2024-02-17 14:00:00;31,1;74,1;;;
2642;2024-02-17 14:01:00;31,1;74;;;
2643;2024-02-17 14:02:00;31,1;74;;;
2644;2024-02-17 14:03:00;31,1;74,1;;;
2645;2024-02-17 14:04:00;31,1;74,1;;;
2646;2024-02-17 14:05:00;31,1;74,1;;;
2647;2024-02-17 14:06:00;31,1;74;;;
2648;2024-02-17 14:07:00;31,1;74;;;
2649;2024-02-17 14:08:00;31,1;74;;;
2650;2024-02-17 14:09:00;31,1;73,9;;;
2652;2024-02-17 14:11:00;31,1;74,1;;;
2654;2024-02-17 14:13:00;31,1;74;;;
2657;2024-02-17 14:16:00;31,1;74;;;
2658;2024-02-17 14:17:00;31,1;73,9;;;
2660;2024-02-17 14:19:00;31,1;74,1;;;
2661;2024-02-17 14:20:00;31,1;74;;;
2662;2024-02-17 14:21:00;31,1;74,1;;;
2663;2024-02-17 14:22:00;31,1;74;;;
2679;2024-02-17 14:38:00;31,1;74,1;;;
2681;2024-02-17 14:40:00;31,1;74,1;;;
2705;2024-02-17 15:04:00;31,1;74;;;
2801;2024-02-17 16:40:00;31,1;74,1;;;
2802;2024-02-17 16:41:00;31,1;74;;;
2803;2024-02-17 16:42:00;31,1;73,9;;;
2804;2024-02-17 16:43:00;31,1;74;;;
2805;2024-02-17 16:44:00;31,1;73,9;;;
2806;2024-02-17 16:45:00;31,1;73,9;;;
2807;2024-02-17 16:46:00;31,1;74;;;
2808;2024-02-17 16:47:00;31,1;73,9;;;
2809;2024-02-17 16:48:00;31,1;73,9;;;
2810;2024-02-17 16:49:00;31,1;74;;;
2811;2024-02-17 16:50:00;31,1;74;;;
2812;2024-02-17 16:51:00;31,1;74;;;
2813;2024-02-17 16:52:00;31,1;74;;;
2814;2024-02-17 16:53:00;31,1;74,1;;;
2815;2024-02-17 16:54:00;31,1;74,2;;;
2816;2024-02-17 16:55:00;31,1;74,2;;;
2817;2024-02-17 16:56:00;31,1;74,1;;;
2818;2024-02-17 16:57:00;31,1;74,1;;;
2819;2024-02-17 16:58:00;31,1;74,1;;;
2820;2024-02-17 16:59:00;31,1;74,1;;;
2821;2024-02-17 17:00:00;31,1;74,1;;;
2822;2024-02-17 17:01:00;31,1;74,1;;;
2823;2024-02-17 17:02:00;31,1;74,1;;;
2824;2024-02-17 17:03:00;31,1;74,1;;;
3871;2024-02-18 10:30:00;31,1;75,4;;;
3877;2024-02-18 10:36:00;31,1;75,4;;;
3881;2024-02-18 10:40:00;31,1;75,5;;;
3882;2024-02-18 10:41:00;31,1;75,5;;;
3883;2024-02-18 10:42:00;31,1;75,3;;;
3884;2024-02-18 10:43:00;31,1;75,4;;;
3885;2024-02-18 10:44:00;31,1;75,4;;;
3886;2024-02-18 10:45:00;31,1;75,5;;;
3887;2024-02-18 10:46:00;31,1;75,5;;;
3888;2024-02-18 10:47:00;31,1;75,5;;;
3889;2024-02-18 10:48:00;31,1;75,5;;;
3890;2024-02-18 10:49:00;31,1;75,5;;;
3891;2024-02-18 10:50:00;31,1;75,5;;;
3892;2024-02-18 10:51:00;31,1;75,4;;;
3893;2024-02-18 10:52:00;31,1;75,4;;;
3894;2024-02-18 10:53:00;31,1;75,5;;;
3895;2024-02-18 10:54:00;31,1;75,5;;;
3896;2024-02-18 10:55:00;31,1;75,5;;;
3897;2024-02-18 10:56:00;31,1;75,5;;;
3898;2024-02-18 10:57:00;31,1;75,5;;;
3899;2024-02-18 10:58:00;31,1;75,5;;;
3900;2024-02-18 10:59:00;31,1;75,4;;;
3901;2024-02-18 11:00:00;31,1;75,5;;;
3902;2024-02-18 11:01:00;31,1;75,5;;;
3903;2024-02-18 11:02:00;31,1;75,5;;;
3904;2024-02-18 11:03:00;31,1;75,5;;;
3905;2024-02-18 11:04:00;31,1;75,5;;;
4244;2024-02-18 16:43:00;31,1;74;;;
4245;2024-02-18 16:44:00;31,1;74,1;;;
4247;2024-02-18 16:46:00;31,1;74,1;;;
4248;2024-02-18 16:47:00;31,1;74,2;;;
4249;2024-02-18 16:48:00;31,1;74,2;;;
4250;2024-02-18 16:49:00;31,1;74,2;;;
4251;2024-02-18 16:50:00;31,1;74,2;;;
4252;2024-02-18 16:51:00;31,1;74,3;;;
4253;2024-02-18 16:52:00;31,1;74,3;;;
4254;2024-02-18 16:53:00;31,1;74,3;;;
4255;2024-02-18 16:54:00;31,1;74,4;;;
4256;2024-02-18 16:55:00;31,1;74,4;;;
4257;2024-02-18 16:56:00;31,1;74,4;;;
4258;2024-02-18 16:57:00;31,1;74,4;;;
4259;2024-02-18 16:58:00;31,1;74,5;;;
4260;2024-02-18 16:59:00;31,1;74,5;;;
4261;2024-02-18 17:00:00;31,1;74,5;;;
4262;2024-02-18 17:01:00;31,1;74,5;;;
4263;2024-02-18 17:02:00;31,1;74,5;;;
4264;2024-02-18 17:03:00;31,1;74,5;;;
4265;2024-02-18 17:04:00;31,1;74,5;;;
4266;2024-02-18 17:05:00;31,1;74,5;;;
4267;2024-02-18 17:06:00;31,1;74,5;;;
4268;2024-02-18 17:07:00;31,1;74,6;;;
4270;2024-02-18 17:09:00;31,1;74,6;;;
4272;2024-02-18 17:11:00;31,1;74,6;;;
